# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.285753
# Diagonal elements of inverse mass matrix:
# 0.158339, 1.3869, 1.23185, 1.0209, 0.817091, 0.59902, 0.0337314, 0.761084, 1.35671
-19.292,0.944783,0.285753,3,7,0,22.672,0.732722,0.0471197,0.20852,0.0320992,0.992584,0.111147,0.320267,0.14815,0.17803,0.584628
-20.6756,0.9047,0.285753,4,15,0,26.293,0.20881,0.0528288,0.121398,0.0587517,0.137537,0.094257,0.476398,0.0472278,0.00294324,0.166606
-21.0474,0.429266,0.285753,4,15,0,32.6359,0.390961,0.0478909,0.136172,0.087021,0.0550962,0.129928,0.457854,0.250385,0.114592,0.311942
-15.9265,1,0.285753,3,7,0,22.7816,0.259671,0.0581103,0.109582,0.0714484,0.25223,0.108971,0.359684,0.0336372,0.0952545,0.207187
-17.3559,0.988923,0.285753,3,15,0,18.8328,0.241498,0.0737038,0.237881,0.0373272,0.551881,0.139311,0.503694,0.0574039,0.170816,0.192687
-17.3039,0.946782,0.285753,3,7,0,21.5866,0.259512,0.0303257,0.143649,0.0661511,0.240578,0.0872818,0.399241,0.225818,0.0474603,0.207061
-20.195,0.998461,0.285753,3,7,0,23.4462,0.358753,0.0729431,0.0572376,0.0253733,0.572467,0.0368048,0.503445,0.0431504,0.134548,0.286244
-25.6437,0.8344,0.285753,3,7,0,30.618,0.324324,0.212674,0.0406932,0.0567058,0.880101,0.0386603,0.600091,0.11874,0.170409,0.258773
-21.9506,0.348974,0.285753,3,7,0,32.92,0.386789,0.115973,0.0421977,0.0724484,0.396658,0.0285634,0.560041,0.167546,0.13625,0.308613
-17.2193,0.999996,0.285753,3,7,0,23.824,0.218172,0.0451105,0.276092,0.397069,0.335186,0.052687,0.348402,0.0550159,0.370238,0.174076
-17.5449,0.998871,0.285753,3,7,0,18.5439,0.264454,0.0850592,0.0754073,0.0283182,0.455122,0.200106,0.350934,0.176775,0.0718745,0.211004
-13.6721,0.924425,0.285753,3,7,0,20.2916,0.248363,0.0358439,0.0784885,0.125411,0.318432,0.111288,0.355622,0.129257,0.207201,0.198165
-15.5376,0.883917,0.285753,3,7,0,18.5137,0.315828,0.0258958,0.139729,0.2876,0.520634,0.0634316,0.301489,0.0721527,0.2601,0.251994
-17.2354,0.932205,0.285753,4,15,0,18.7094,0.227742,0.0394248,0.105172,0.0765352,0.557322,0.0538447,0.473086,0.09011,0.0589213,0.181712
-20.5931,0.983203,0.285753,3,7,0,24.9528,0.215873,0.106461,0.244565,0.328285,0.203342,0.250695,0.345002,0.0677542,0.0153056,0.172242
-21.0558,0.961877,0.285753,3,15,0,26.3026,0.257602,0.00909418,0.0226962,0.063303,0.351545,0.0241035,0.267464,0.164186,0.112366,0.205537
-19.0202,0.972402,0.285753,4,15,0,25.1864,0.447751,0.0328678,0.489166,0.150709,0.337445,0.100946,0.533856,0.0707471,0.357659,0.357254
-16.6656,0.49531,0.285753,3,7,0,24.7553,0.367849,0.0275504,0.0304205,0.120747,0.567159,0.0345944,0.400108,0.131481,0.359149,0.293501
-16.8198,0.983931,0.285753,3,15,0,18.3912,0.388058,0.114145,0.0291861,0.267117,0.537081,0.0512752,0.451158,0.0809859,0.563267,0.309626
-17.4159,0.847687,0.285753,3,7,0,20.9864,0.424541,0.0284045,0.0262534,0.138722,0.390314,0.0741201,0.487446,0.0838507,0.31407,0.338735
-16.7969,0.980517,0.285753,4,15,0,20.7823,0.275883,0.0729685,0.163968,0.23652,0.263365,0.19718,0.317846,0.0357271,0.511051,0.220123
-21.7976,0.53597,0.285753,4,15,0,26.801,0.280928,0.0097638,0.157773,0.0136285,0.445354,0.0101302,0.444565,0.169519,0.0451194,0.224148
-18.4615,0.914602,0.285753,4,15,0,27.5363,0.421786,0.151965,0.11362,0.183032,0.209874,0.0479872,0.343867,0.0606175,0.268178,0.336537
-18.6597,0.950045,0.285753,3,15,0,22.6005,0.446483,0.186806,0.0988694,0.2485,0.226069,0.0568814,0.368088,0.0547445,0.508402,0.356242
-22.4303,0.650457,0.285753,4,15,0,27.9672,0.341005,0.00672127,0.0110204,0.0134252,0.376345,0.0504455,0.420058,0.0227741,0.218061,0.272083
-22.9406,0.918684,0.285753,3,7,0,29.7918,0.20948,0.00898886,0.00227172,0.0200665,0.483374,0.121604,0.491721,0.18342,0.0899612,0.167141
